lat,lon,diam
75.9173,305.45,67.316
74.2593,301.663,50.471
70.689,294.746,48.712
64.5016,287.636,27.6968
62.6895,289.602,26.6699
77.678,317.262,21.3079
80.8196,7.38327,23.7895
80.8568,10.6534,46.5745
80.2318,26.6621,35.6652
77.7035,45.9918,35.3986
76.5173,51.5829,20.0234
67.012,66.1448,40.851
68.2148,67.3529,25.4671
65.2671,67.2833,26.4618
66.9116,63.7854,38.4929
68.1285,63.0597,20.4242
67.0911,61.721,44.5796
70.5072,61.3477,24.7447
75.5631,48.3047,53.165
74.5295,45.0666,31.9782
76.4033,41.9181,39.2557
78.7413,34.0611,65.9248
79.6021,9.21425,53.8137
78.3866,333.362,86.352
74.6886,314.269,42.1869
70.5704,302.749,25.2561
68.9346,295.497,21.8952
68.0147,299.131,81.4383
68.2659,304.272,124.719
63.5774,296.984,127.625
61.7878,289.82,27.0728
72.5279,315.307,81.8663
73.721,319.643,52.3685
69.5296,308.804,59.5074
76.3636,328.436,33.8984
77.7223,14.1321,54.81
77.4742,8.71828,37.5782
76.2413,30.5486,63.3954
74.6092,36.9522,94.8793
65.1604,63.8721,24.8978
64.635,65.3194,24.4343
61.1116,66.3902,31.388
63.7198,63.8341,21.4556
67.2881,53.4108,28.689
73.186,43.6082,24.2307
77.2491,2.02963,32.4727
76.7701,359.644,27.3773
76.3507,2.94421,22.6033
72.203,327.304,71.5515
76.4943,332.832,40.0992
74.3398,331.674,101.922
75.5675,8.0441,53.3331
75.1525,15.2849,43.9317
73.6868,19.4896,124.709
71.4815,38.1507,33.1726
70.6747,42.3713,29.4042
71.587,44.4013,59.7581
68.1377,50.7038,35.2746
69.0786,50.2756,31.5515
64.746,57.5599,24.7096
64.542,55.475,23.8372
64.18,53.5206,25.5532
67.7197,46.854,28.9173
68.7275,39.7955,56.3169
69.8009,35.7887,35.0387
70.362,36.108,23.147
72.1491,24.6866,77.0779
73.0385,356.826,117.448
75.2513,348.836,52.875
73.4876,349.854,50.9281
66.9477,308.505,65.9141
72.5268,339.961,46.7312
73.6992,341.172,40.502
71.3952,339.131,28.693
73.4944,345.342,43.4882
72.9501,10.8982,28.6974
70.9152,31.42,44.4078
71.3795,29.7267,28.4043
61.9246,54.404,54.6793
61.7218,50.2953,29.8835
65.0745,45.5232,25.5515
66.9242,36.0765,88.1025
69.6193,28.6873,34.0915
70.4343,19.1469,77.8254
71.9542,13.979,45.9148
71.2861,7.79557,92.0127
70.5664,3.8729,27.5484
70.1564,0.221572,30.8856
71.255,327.054,92.0546
69.2319,336.156,98.9918
70.703,356.657,25.6037
70.5283,354.091,22.9854
69.259,11.79,46.1509
68.2234,24.9998,50.5506
64.7796,38.6493,20.9198
61.5089,43.781,53.8501
61.294,48.3111,66.9506
66.2626,28.8275,35.5974
68.3713,15.6365,46.0467
62.3437,318.389,158.378
67.6059,343.858,21.1927
67.4804,355.516,55.248
67.9667,0.126027,29.5703
67.1518,13.622,29.4446
65.2832,29.907,20.2867
65.2031,27.6702,22.0118
62.2839,35.0434,37.1247
64.612,26.1109,24.4084
62.9228,25.8194,55.435
61.0521,29.9402,78.7584
65.4796,3.37132,160.022
66.1301,356.937,32.0127
63.2469,17.3289,38.3789
63.6385,11.6872,48.0734
63.395,341.079,37.0277
62.9092,359.46,31.8191
61.4219,3.24394,37.3953
61.1377,350.205,37.2776
64.1974,14.7834,43.1182
64.5119,23.931,31.6917
60.195,51.7061,21.2879
71.3294,297.492,26.3167
78.5097,321.388,20.6505
82.391,47.1825,24.8698
64.4648,274.269,25.3941
79.2951,68.9676,26.5859
77.8612,77.5563,20.2092
76.1144,254.694,38.8538
83.4951,231.562,23.1315
83.5853,141.578,42.2792
80.6669,121.32,28.0182
74.7344,109.943,30.7721
61.8835,102.267,29.9308
76.6475,215.68,31.853
75.9613,135.673,29.3105
66.8477,119.6,23.615
67.9687,223.066,30.1843
70.8115,209.72,41.2525
64.4169,135.805,33.0981
63.5799,141.192,26.0728
63.1996,139.489,27.4007
65.7562,153.131,39.3475
62.1251,220.731,26.2557
66.0953,192.3,26.9816
60.5775,198.362,20.5377
72.8676,85.2314,110.288
72.7395,90.8151,25.6447
69.6073,66.6311,26.3508
77.1989,349.827,95.0387
66.5284,337.153,50.6436
65.5787,33.0394,59.6278
62.239,18.5616,67.2641
64.9974,349.378,98.1655
60.3176,282.602,61.8769
60.0661,275.155,41.5381
60.2721,263.123,83.7381
60.3916,242.384,34.1256
60.8416,238.292,63.4649
60.2121,143.209,25.3215
60.1585,144.253,24.5236
61.6834,90.2801,213.6
60.1915,15.5037,34.104
63.7264,153.397,23.9291
62.5497,149.147,24.2771
66.3723,189.562,30.9724
67.9656,168.17,22.4451
67.9269,210.013,20.7062
63.7534,133.021,23.1911
67.114,221.943,26.7422
70.5249,151.341,22.5809
67.9451,137.631,20.2421
68.7761,220.376,22.7735
64.9276,230.222,24.9007
70.405,139.446,22.2218
76.3564,185.664,20.1808
79.539,188.696,20.4672
80.8019,123.386,22.4973
84.1851,161.302,29.3023
80.039,101.375,24.0291
61.5261,270.528,58.8066
62.0923,271.832,54.667
69.4649,272.205,21.5393
69.174,269.014,38.772
70.0503,65.0435,20.6869
67.4016,67.7311,26.5153
71.9655,55.6497,24.0165
64.2986,61.0944,26.0113
65.6984,309.568,93.0199
70.7347,1.87696,21.5348
69.4052,341.681,22.3011
65.94,270.021,21.4607
60.9865,153.593,45.3815
61.5368,145.727,120.388
60.7861,122.246,78.9309
60.9621,127.059,88.3016
63.757,137.427,83.6487
69.8098,174.982,44.5524
67.0109,192.508,60.9807
71.8516,239.95,79.0718
79.3229,168.883,48.4125
77.2224,148.179,41.5477
64.8439,119.963,69.139
64.633,122.615,24.2504
65.6347,281.368,46.6253
69.3105,274.46,29.9525
86.312,318.573,34.6369
72.9088,76.4718,68.2754
68.8284,62.548,24.1263
76.6117,11.168,25.8987
67.9284,293.403,28.0145
67.4823,291.164,38.0813
62.1526,287.205,32.6421
63.2101,21.7152,29.5437
65.0042,132.355,20.6491
85.5184,69.0056,25.5841
72.4914,135.391,24.3096
71.9882,99.5854,23.0156
79.454,104.79,29.9308
71.621,96.6424,21.4402
70.2996,82.0102,21.9301
70.9236,74.5546,39.3889
79.8958,31.4006,21.058
62.962,119.535,22.3453
75.3341,119.866,28.6261
67.9682,107.865,115.122
80.5821,128.634,24.0057
77.2019,102.021,24.9215
69.4094,94.1653,31.5096
78.5032,291.725,35.8849
82.8182,56.718,23.5369
77.6454,56.5325,22.2183
65.1179,55.3569,22.2744
67.5014,48.3067,22.825
63.8623,8.84743,27.3476
